,SSID,Signal,MAC ADDRESS
0,.:WN Telecom:.Faz Macacos,-73dB,C0:25:E9:F7:F7:CE
1,D-Link_DIR-615,-73dB,74:DA:DA:2D:14:B5
,SSID,Signal,MAC ADDRESS
0,.:WN Telecom:.Faz Macacos,-75dB,C0:25:E9:F7:F7:CE
1,D-Link_DIR-615,-72dB,74:DA:DA:2D:14:B5
,SSID,Signal,MAC ADDRESS
0,.:WN Telecom:.Faz Macacos,-70dB,C0:25:E9:F7:F7:CE
